trailID,trailName,length,elevation_feet,difficulty,routeType,reviews,parkID
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,19151.146,592.836,5,out and back,27,5
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,5954.558,425.8056,3,out and back,69,5
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,5471.756,528.828,3,out and back,39,5
10257085,South Kaibab to North Kaibab to Bright Angel Trail,65822.006,3578.9616,7,point to point,37,5
10265749,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,27841.582,1748.9424,5,point to point,30,5
10315767,South Kaibab Trail to Tip Off,14484.06,1004.9256,5,out and back,33,5
10023828,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,88513.7,1601.724,1,point to point,27,5
10042232,Thunder Creek to Deer Creek and Thunder Falls,46670.86,2213.7624,5,loop,10,5
10365390,Rim to Rim: North to South and Ribbon Falls,49889.54,1995.8304,7,point to point,48,5
10258317,Grand Canyon Rim Village to Hermit's Rest,24622.902,424.8912,1,out and back,28,5
10002324,Desert View Visitor Center Trail,643.736,10.9728,1,loop,41,5
10274527,Coconino Overlook,2092.142,141.732,1,out and back,45,5
10009628,Uncle Jim Trail,7563.898,222.8088,1,loop,43,5
10009444,Dripping Springs via Dripping Springs and Hermit Trail,10138.842,796.7472,5,out and back,26,5
10331092,North Kaibab Trail to Redwall Bridge,11104.446,801.9288,5,out and back,25,5
10259343,Tanner Trail,21404.222,1611.7824,7,out and back,30,5
10304719,"South Kaibab, Tonto and Bright Angel Trail",19955.816,1034.796,7,point to point,24,5
10246734,South to North Kaibab Trail,31060.262,1966.8744,5,point to point,23,5
10258602,Point Imperial,160.934,6.7056,1,out and back,24,5
10302747,West Rim Trail: Hermits Rest to Powell Point,19312.08,231.9528,1,out and back,31,5
10235597,Roosevelt Point Trail,482.802,0.9144,1,loop,15,5
10013382,South Bass Trail,19633.948,1330.7568,7,out and back,10,5
10258739,The Escalante Route Trail,56005.032,2881.884,5,out and back,18,5
10023951,Nankoweap Trail,49406.738,2568.8544,7,out and back,13,5
10272964,Hermit Trail to Dripping Springs,8529.502,610.8192,5,out and back,20,5
10258650,Cliff Springs Trail,1770.274,93.8784,1,out and back,18,5
10258659,Walhalla Overlook,160.934,0.0,1,out and back,6,5
10258654,Widforss Trail - Short Option,6920.162,179.832,1,out and back,10,5
10259353,Clear Creek Trail,49245.804,2673.7056,7,out and back,10,5
10013558,New Hance Trail,20921.42,1506.9312,5,out and back,15,5
10013912,Bright Angel Trail to Tonto Trail,116838.084,3102.864,5,out and back,7,5
10259355,Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,34118.008,1593.7992,5,point to point,7,5
10259354,Boucher Trail to Hermit Trail Loop,32508.668,1758.696,5,loop,6,5
10389448,"Rim Trail, South Kaibab and Bright Angel Loop",34118.008,1501.7496,5,loop,13,5
10016910,Mather Campground Trail,3701.482,36.8808,1,loop,16,5
10259344,Tonto Trail: New Hance Trail to Grandview Point,25105.704,1569.72,7,point to point,3,5
10266285,South to North Kalbab Trail,49728.606,3386.9376,7,point to point,9,5
10013255,Tusayan Ruin Trail,482.802,4.8768,1,loop,17,5
10384519,Ribbon Falls from the North Rim via North Kaibob Trail,27036.912,1639.824,5,out and back,3,5
10017278,Boucher Trail,28485.318,1714.8048,7,out and back,7,5
10235600,Ken Patrick Trail North from Point Imperial,7885.766,143.8656,1,out and back,12,5
10235592,Grand Canyon Bridle Trail,5149.888,77.724,1,out and back,12,5
10259348,Tonto Trail from Grandview Point to South Kaibab Trailhead,43774.048,1589.8368,7,point to point,3,5
10347292,Phantom Ranch to Phantom Overlook,3379.614,205.74,3,out and back,10,5
10258670,Monument Point via Bill Hall Trail,2414.01,103.9368,1,out and back,5,5
10004062,Waldron Trail,7885.766,703.7832,5,out and back,4,5
10018933,Lava Falls Trail,4184.284,762.9144,5,out and back,3,5
10263672,Tanner Trail to Grandview Trail and Grandview Point,50855.144,2435.9616,7,point to point,3,5
10327921,Grandview Point to Horseshoe Mesa East Trail,11748.182,833.9328,5,out and back,4,5
10304376,Tonto Trail to Monument Creek,45544.322,1603.8576,5,out and back,3,5
10379267,Hermit Trail to Granite Rapids Campground,35244.546,1748.9424,5,out and back,6,5
10272205,Tanner Beach and Lava Rapids Trail,31864.932,1724.8632,3,out and back,1,5
10028565,Ken Patrick Trail South from Point Imperial,15610.598,376.7328,5,point to point,7,5
10265889,"South Kaibab, North Kaibab and Bright Angel Trail",57614.372,2731.9224,7,point to point,2,5
10347968,Hermit Camp to Monument Creek Camp via Tonto Trail,10138.842,370.9416,3,out and back,2,5
10258658,Walhalla Ruins,160.934,0.0,1,out and back,2,5
10022546,Deer Creek to Colorado River,29450.922,1792.8336,7,out and back,2,5
10006893,Blue Springs Trail,27358.78,721.7664,3,out and back,1,5
10009407,North Bass Trail,35888.282,2166.8232,7,out and back,1,5
10259364,South Canyon,17380.872,991.8192,7,out and back,1,5
10014422,Arizona Trail #36,27036.912,186.8424,5,point to point,2,5
10269033,South Bass to Hermits Rest via Tonto West,66465.742,2931.8712,7,point to point,1,5
10268788,Tanner and Beamer Trail,49567.672,2311.908,3,out and back,1,5
10268789,Palisades Creek Trail,36371.084,1998.8784,3,out and back,1,5
10259359,Powell Plateau Trail,8046.7,541.9344,3,out and back,2,5
10007969,Tiyo Point Trail,32669.602,503.8344,3,out and back,1,5
10286475,AZ Trail Segment 37,35888.282,304.8,3,point to point,3,5
10314641,Schmutz Spring,8851.37,560.832,3,out and back,0,5
10421252,Horseshoe Mesa Loop via Grand View Trail,19633.948,1180.7952,5,loop,1,5
10427265,Thunder River Trail from Indian Hollow Parking Area,46188.058,1982.724,5,out and back,2,5
10258671,North Bass Trail to Muav Cabin,2414.01,226.7712,1,out and back,0,5
10034910,Bridal Wreath Falls Trail,9012.304,326.7456,3,out and back,259,6
10031380,Wasson Peak Trail,12713.786,567.8424,3,loop,229,6
10013966,King Canyon Trail to Wasson Peak,11426.314,560.832,3,out and back,135,6
10244240,Wasson Peak via Sweetwater Trail,14966.862,637.9464,5,out and back,161,6
10111405,Douglas Spring Trail,26715.044,1139.952,3,out and back,95,6
10006953,Tanque Verde Ridge Trail,32186.8,1705.9656,7,out and back,108,6
10242023,Mica View Loop Trail,5954.558,36.8808,1,loop,111,6
10004435,Hugh Norris Trail,14323.126,729.996,3,out and back,103,6
10112001,Safford Peak Trail,3862.416,278.892,3,out and back,72,6
10267208,Gould Mine,3701.482,115.824,3,loop,65,6
10293249,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",11426.314,381.9144,3,loop,60,6
10002217,Valley View Overlook Trail,1287.472,14.9352,1,out and back,61,6
10041071,Cactus Forest Loop Drive,16576.202,213.9696,1,loop,38,6
10306310,Loma Verde and Squeeze Pen Loop,5954.558,47.8536,3,loop,56,6
10039522,Hope Camp,10460.71,160.9344,3,out and back,45,6
10032774,Garwood Trail,5310.822,61.8744,1,out and back,39,6
10111504,Garwood Dam To Douglas Spring Loop Trail,10460.71,345.948,1,loop,28,6
10281018,Tanque Verde Ridge,5310.822,281.94,3,out and back,32,6
10038311,Freeman Homestead Nature Trail,1770.274,32.9184,1,loop,50,6
10011949,Sendero Esperanza Trail,8046.7,316.992,3,out and back,35,6
10298010,Douglas Spring to Three Tank Trail Junction,7242.03,295.9608,3,out and back,20,6
10259900,Saguaro National Park West and Old Tucson Studios Scenic Drive,63086.128,657.7584,1,loop,14,6
10311930,Petroglyphs at King Canyon,3540.548,88.6968,3,out and back,33,6
10111280,Cactus Forest Trail,16093.4,155.7528,3,out and back,35,6
10287374,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",5310.822,23.7744,1,loop,32,6
10035690,Ridge View Trail,3701.482,106.9848,3,out and back,27,6
10315676,Mica View Trail to Cactus Forest Trail,3057.746,20.7264,1,loop,25,6
10039514,Desert Ecology Trail,482.802,2.7432,1,loop,27,6
10269962,Wildhorse Trail,4988.954,91.7448,3,out and back,16,6
10269284,Tanque Verde Falls Viewpoint,1126.538,61.8744,3,out and back,13,6
10013747,Desert Discovery Nature Trail,643.736,4.8768,1,loop,26,6
10112153,Thunderbird Trail,6437.36,149.9616,3,out and back,27,6
10267209,Cactus Wren Trail,6276.426,56.9976,3,loop,23,6
10269670,"Scenic, Passey, Packrat Trail Loop",2735.878,80.772,1,loop,18,6
10263759,Mica Mountain via Douglas Spring and Cow Head Saddle Trail,40877.236,1961.9976,7,out and back,7,6
10021291,Redington OHV Trail,39267.896,750.7224,1,point to point,10,6
10268598,Hope Camp Coyote Wash and Ruiz Trail Loop,9334.172,142.9512,3,loop,15,6
10398395,Tanque Verde Falls Beach,1287.472,29.8704,1,out and back,14,6
10306312,Shantz and Mica View Trail,4184.284,36.8808,3,loop,15,6
10041333,Coyote Pass Loop Trail,9173.238,159.7152,1,loop,10,6
10037999,Turkey Creek,19473.014,1199.9976,5,out and back,5,6
10299272,Cactus Canyon and Gila Monster Loop via Thunderbird Trail,9656.04,223.7232,3,loop,15,6
10111891,Panther Peak Wash - Roadrunner Loop,6759.228,57.912,3,loop,16,6
10039029,Manning Camp Trail,24783.836,1391.7168,5,out and back,3,6
10311730,Vertical Cliffs Trail to Abington Trail Loop,6115.492,76.8096,1,loop,15,6
10028602,Bajada Loop Drive,8368.568,129.8448,1,loop,7,6
10272764,"Hope Campe, Ruiz Trail, and Coyote Wash Trail",9012.304,139.9032,3,loop,9,6
10307988,Wild Horse to Garwood Dam,6276.426,100.8888,1,out and back,5,6
10111287,Cam-Boh Trail,7885.766,69.7992,3,out and back,10,6
10313180,"Shantz, Mesquite, Loma and Cholla Trail Loop",8207.634,57.912,1,loop,9,6
10236034,Cow Head Saddle Trail,41842.84,2309.7744,5,out and back,2,6
10267224,Ironwood Forest Picture Rocks Wash Trail,6276.426,83.82,3,loop,5,6
10348524,Encinas Trail from Ez-Kim-In-Zin Picnic Area,11748.182,203.9112,3,out and back,3,6
10261755,Valley View and Wild Dog Trails,4345.218,75.8952,3,loop,2,6
10394939,"Shantz, Vanover, Loma Verde, Cholla, Cactus Forest Trail Loop",8207.634,37.7952,3,loop,7,6
10366335,"Hugh Norris, Sendero Esperanza, Dobbie Wash Loop",10299.776,377.952,3,loop,4,6
10453902,Hope Camp to Grass Shack Camp Trail,15449.664,839.724,7,point to point,3,6
10483525,Arizona Trail: Savilla Campground to Saguaro National Park,13196.588,109.728,3,point to point,0,6
10456484,"Douglas Spring, Converse, Garwood  and Wildhorse Loop",5471.756,55.7784,1,loop,1,6
10545419,Redington Pass Chiva Falls OHV Loop,32830.536,941.832,3,loop,0,6
10236025,Blue Mesa Trail,1448.406,32.9184,1,loop,163,7
10236026,Crystal Forest Trail,1448.406,10.9728,1,loop,95,7
10236022,Painted Desert Rim Trail,1770.274,11.8872,1,out and back,61,7
10018269,Petrified Forest Scenic Drive,46027.124,297.7896,3,point to point,52,7
10251377,Giant Logs Trail,965.604,10.9728,1,loop,52,7
10042018,Onyx Bridge Trail,7402.964,134.7216,3,loop,59,7
10236028,Long Logs and Agate House Loop Trail,3379.614,24.9936,1,loop,46,7
10236023,Puerco Pueblo Trail,482.802,2.7432,1,loop,41,7
10270136,Devil's Playground Loop,12070.05,144.78,3,loop,19,7
10272375,Old Jasper Forest Road,4184.284,53.9496,1,loop,22,7
10297375,Painted Desert Rim Trail to Kachina Point,1770.274,12.8016,1,out and back,12,7
10272332,Martha's Butte,4345.218,22.86,3,out and back,9,7
10378554,Blue Hills Loop,3862.416,67.9704,3,loop,9,7
10272356,Martha's Butte Off-Trail Route,3057.746,17.9832,1,out and back,11,7
10272462,First Forest Point,7081.096,87.7824,3,out and back,2,7
10041922,Sunset Trail,20921.42,722.9856,5,loop,103,8
10235890,West Mountain Trail,3057.746,107.8992,3,loop,104,8
10264755,Goat Rock Trail,3862.416,115.824,3,out and back,73,8
10264753,Gulpha Gorge Trail,1931.208,116.7384,3,out and back,75,8
10039426,The Grand Promenade and Side Trails,1931.208,33.8328,3,loop,57,8
10007938,Dead Chief Trail,4345.218,121.92,3,out and back,53,8
10267800,Hot Springs Mountain Trail,5310.822,204.8256,1,loop,56,8
10017178,Peak Trail,2092.142,108.8136,1,out and back,64,8
10235889,Sugarloaf Mountain Via Sunset Trail,11426.314,592.836,3,out and back,22,8
10354929,Goat Rock via Dead Chief Trail,2092.142,87.7824,3,out and back,22,8
10264248,Grand Promenade,1126.538,20.7264,1,out and back,23,8
10291742,Hot Springs Sunset Trail Full Circle,20599.552,680.9232,7,loop,10,8
10307591,Sunset Trail: Sugarloaf Mountain Section,4667.086,183.7944,3,point to point,15,8
10308425,Upper Dogwood Trail,2253.076,68.8848,1,loop,15,8
10367719,Mountaintop Loop,2092.142,112.776,1,loop,6,8
10308451,Lower Dogwood Trail,2574.944,123.7488,1,loop,10,8
10026910,Vernal and Nevada Falls via the Mist Trail,10299.776,667.8168,3,loop,1869,9
10005895,Upper Yosemite Falls Trail,11587.248,967.74,7,out and back,1351,9
10005585,Half Dome Trail,23818.232,1573.9872,7,out and back,1196,9
10011926,Lower Yosemite Falls Trail,1609.34,15.8496,1,loop,925,9
10027503,Clouds Rest Trail via Tenaya Lake,19794.882,948.8424,5,out and back,685,9
10010560,Four Mile Trail,12070.05,998.8296,7,out and back,754,9
10031426,Sentinel Dome Trail,3379.614,138.9888,1,out and back,577,9
10033113,Glacier Point Trail,965.604,71.9328,1,out and back,344,9
10276593,Vernal Falls,5954.558,406.908,3,out and back,1107,9
10235913,Mirror Lake via Valley Loop Trail,9012.304,101.8032,1,loop,622,9
10235907,Bridalveil Fall Trail,804.67,24.9936,1,out and back,455,9
10028653,Taft Point and The Fissures,3701.482,113.9952,1,out and back,297,9
10002863,Cathedral Lakes Trail,13840.324,472.7448,3,out and back,248,9
10010871,Vernal and Nevada Falls via the Panorama Trail,14484.06,297.7896,5,point to point,207,9
10235908,Columbia Rock Trail,2092.142,288.9504,3,out and back,380,9
10037289,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,16737.136,636.7272,3,out and back,221,9
10004781,John Muir Trail via Yosemite Valley,326856.954,14029.944,5,point to point,129,9
10012390,Mariposa Grove of Giant Sequoias Trail,9012.304,367.8936,3,loop,262,9
10235922,Chilnualna Falls Trail,12713.786,666.9024,3,out and back,297,9
10293225,Sentinel Dome and Taft Point Loop,8207.634,341.9856,3,loop,232,9
10298575,Nevada Falls,8690.436,669.9504,5,out and back,286,9
10014345,Clouds Rest Trail from Yosemite Valley,28968.12,1920.8496,5,out and back,123,9
10013813,El Capitan Trail (historical),21726.09,1426.7688,5,out and back,76,9
10028648,Wapama Falls Trail,7402.964,290.7792,3,out and back,230,9
10261348,Yosemite Point,13679.39,1107.948,5,out and back,172,9
10026896,Tuolumne Grove Trail,5149.888,223.7232,3,out and back,270,9
10032060,Mount Dana Summit Trail,11265.38,945.7944,5,out and back,167,9
10111782,Mount Hoffman Trail,9012.304,582.7776,5,out and back,103,9
10033119,Tenaya Lake Trail,5471.756,59.7408,1,out and back,59,9
10235919,Sentinel Meadow Cook's Meadow Loop Trail,3540.548,25.908,1,loop,86,9
10235927,Illilouette Falls Trail,7885.766,442.8744,3,out and back,112,9
10031434,Tuolumne Meadows to Glen Aulin High Sierra Camp,19473.014,365.76,3,out and back,93,9
10032041,Hetch Hetchy Trail to Rancheria Falls,18185.542,775.716,5,out and back,101,9
10243572,Valley Floor Loop Trail,32347.734,370.9416,1,loop,115,9
10006763,Lembert Dome Loop,5954.558,257.8608,3,loop,135,9
10235911,Inspiration Point Trail,3701.482,317.9064,3,out and back,113,9
10273406,Mirror Lake from Shuttle Stop 17,3701.482,44.8056,1,loop,146,9
10039812,Ten Lakes Trail,19955.816,920.8008,5,out and back,94,9
10031432,Olmsted Point Nature Trail,643.736,16.764,1,out and back,51,9
10414200,Mirror Lake Paved Trail,2574.944,29.8704,1,out and back,123,9
10381604,Grizzly Giant Loop Trail,3218.68,106.9848,1,loop,129,9
10018534,Kibbie Lake Trail,21082.354,797.9664,5,loop,49,9
10017427,Gaylor Lakes Trail,5632.69,368.808,5,out and back,86,9
10235925,Dewey Point Trail,12070.05,306.9336,3,loop,48,9
10112073,Snow Creek Falls Trail,32508.668,1641.9576,5,out and back,44,9
10028657,May Lake High Sierra Camp from Tioga Pass Road,10299.776,327.9648,3,out and back,41,9
10461398,El Capitan Loop,34600.81,1588.9224,7,loop,15,9
10235905,Artist Point Trail,3701.482,225.8568,3,out and back,46,9
10027494,Grand Canyon of the Tuolumne,92858.918,3507.9432,3,loop,16,9
10026916,Young Lakes Trail Loop,27680.648,833.9328,3,loop,56,9
10002434,May Lake,4506.152,151.7904,3,out and back,74,9
10235928,Elizabeth Lake Trail,7885.766,256.9464,3,out and back,62,9
10258447,Hetch Hetchy Loop via Lake Vernon,41520.972,1725.7776,5,loop,56,9
10257120,Panorama Trail to Little Yosemite Valley,33796.14,1193.9016,5,out and back,30,9
10035725,Sunrise Lakes Trail,15127.796,727.8624,5,out and back,30,9
10007611,Eagle Peak Trail,23013.562,1836.7248,5,out and back,39,9
10259504,Tuolumne Meadows to Yosemite Valley Trail,43774.048,657.7584,3,point to point,19,9
10026919,Lyell Canyon and Vogelsang Loop Trail,31543.064,684.8856,7,loop,25,9
10259676,Lower Chilnualna Falls Trail,965.604,76.8096,3,out and back,71,9
10026923,Mono Pass Trail,17380.872,503.8344,3,out and back,62,9
10033115,Ostrander Lake Trail,19151.146,544.9824,3,out and back,67,9
10002313,Pohono Trail Glacier Point to Inspiration Point,19312.08,615.696,3,point to point,34,9
10026911,Yosemite Valley to Tuolumne Meadows Trail,34761.744,2081.784,3,point to point,11,9
10304804,Four Mile Trail to Panorama Trail Loop,26232.242,1355.7504,7,loop,51,9
10038340,Swinging Bridge Trail,1931.208,17.9832,1,out and back,60,9
10037285,Rancheria Falls Trail,19151.146,797.9664,3,out and back,33,9
10287617,Yosemite Grand Tour,24301.034,1325.88,5,loop,21,9
10026905,Wawona Meadow Loop Trail,5793.624,74.9808,1,loop,76,9
10018535,Merced Grove Trail,6598.294,228.9048,1,out and back,76,9
10026904,West Valley Loop Trail,10621.644,130.7592,1,loop,25,9
10111582,May Lake from Sunrise Lakes Trailhead,10943.512,366.9792,3,out and back,16,9
10298171,Tuolumne Meadow to Cathedral Pass,12874.72,462.9912,3,out and back,28,9
10015881,Yosemite Creek Trail,19312.08,436.7784,3,out and back,20,9
10032051,East Valley Floor Trail,9977.908,85.9536,1,loop,22,9
10261350,Lembert Dome Trail,3862.416,221.8944,3,out and back,40,9
10359466,Clouds Rest Loop,30255.592,1515.7704,5,loop,20,9
10266972,"Vernal, Nevada, and Illilouette Fall Route",18990.212,1290.828,5,out and back,15,9
10292226,Bridalveil Falls from Southside Drive,1126.538,40.8432,1,out and back,44,9
10263609,Pohnono Trail to Sentinel Dome Trail Loop,6115.492,262.7376,3,loop,15,9
10028660,Pothole Dome Trail,1609.34,57.912,1,out and back,40,9
10260286,Tuolumne River Loop: Dana and Lyell Forks,5793.624,55.7784,1,loop,22,9
10478156,Panorama Trail,14484.06,687.9336,5,out and back,61,9
10235912,Stanford Point Trail,13357.522,881.7864,5,out and back,34,9
10005425,Dog Lake Trail,5793.624,186.8424,1,loop,33,9
10288910,Dewey Point via McGurk Meadow Trail,12070.05,386.7912,3,out and back,61,9
10308382,Taft Point via Glacier Point,12070.05,594.9696,3,out and back,19,9
10259608,John Muir Trail: Tuolumne to Reds Meadow,52464.484,1644.7008,5,point to point,20,9
10041363,The Pohono Trail from Inspiration Point,36210.15,1936.6992,7,loop,19,9
10259589,John Muir Trail: Happy Isles to Tuolumne Meadows,33635.206,2144.8776,5,point to point,16,9
10032056,Soda Springs and Parsons Lodge Trail,2574.944,15.8496,1,out and back,40,9
10259651,Pohono Trail: Glacier Point to Dewey Point,32186.8,1365.8088,3,loop,15,9
10264714,PCT: CA Section I - Tuolumne Meadow to Sonora Pass,109917.922,4210.812,5,point to point,5,9
10268546,Merced Lake Loop Trail,52142.616,1835.8104,3,loop,4,9
10262771,Waterwheel Falls and Glen Aulin Trail,27358.78,722.9856,7,out and back,17,9
10035726,Murphy Creek Trail to Polly Dome Lake,10299.776,203.9112,1,out and back,12,9
10034188,Badger Pass to Glacier Point Trail,34922.678,756.8184,5,out and back,18,9
10264128,Valley Loop Trail,9334.172,63.7032,1,loop,29,9
10003960,Bridalveil Creek Loop Trail,9977.908,93.8784,3,loop,7,9
10273720,Happy Isles to Cloud's Rest Loop,34439.876,1941.8808,5,loop,8,9
10350229,Vernal Fall Foot Bridge via Mist and John Muir Trail,3701.482,169.7736,3,loop,20,9
10352647,Mariposa Cabin Trail,3379.614,150.876,1,out and back,36,9
10259543,Tuolumne River Trail,5471.756,74.9808,1,out and back,10,9
10035728,Waterwheel Falls Trail,57936.24,1865.9856,3,out and back,12,9
10111580,May Lake to Glen Aulin Trail,35083.612,1104.9,3,out and back,6,9
10032046,McGurk Meadow Trail,5632.69,134.7216,1,out and back,33,9
10257664,Lukens Lake Trail,3540.548,87.7824,1,out and back,18,9
10036219,Waterwheel Falls and the Grand Canyon of the Tuolumne Trail,43934.982,1463.9544,7,point to point,10,9
10039816,The High Sierra Camp Loop Trail,73707.772,2424.9888,3,loop,10,9
10299947,"Mirror Lake, Snow Creek, and Upper Yosemite Falls Loop",25427.572,1427.988,5,loop,11,9
10362147,Glacier Point to Union Point,5954.558,316.992,3,out and back,29,9
10296372,Lembert Dome from Tuolomne Meadows Lodge Road,2896.812,217.932,3,out and back,31,9
10028652,"Dewey, Crocker, and Stanford Point via the Pohono Trail",14966.862,586.74,3,out and back,15,9
10008108,Alder Creek Loop Trail,25427.572,723.9,3,loop,17,9
10034193,Nelson Lake Trail,17863.674,781.812,3,out and back,18,9
10235988,Little Nellie Falls Trail,8851.37,283.7688,3,out and back,12,9
10311335,Glacier Point to Half Dome,32669.602,1829.7144,7,out and back,17,9
10267411,Cathedral Lakes to Clouds Rest,36853.886,1099.7184,5,point to point,7,9
10290389,Tamarack Flat to El Capitan,27358.78,1120.7496,3,out and back,18,9
10273123,North Dome Trail via Upper Yosemite Falls Trail,22852.628,1714.8048,7,out and back,10,9
10260560,Clark Range Circuit,70650.026,2604.8208,5,loop,5,9
10311400,Tunnel View to Dewey Point,14966.862,1066.8,5,out and back,14,9
10111583,Vogelsang Camp to Merced Lake Trail,23496.364,979.932,5,out and back,5,9
10032039,Crane Flat Lookout Trail,4506.152,111.8616,1,out and back,9,9
10260246,Old Big Oak Flat Access Road,6598.294,326.7456,5,out and back,14,9
10313001,Mount Lyell,42486.576,1454.8104,7,out and back,7,9
10111581,Merced Lake to Sunrise Camp Trail,19473.014,923.8488,5,point to point,3,9
10027504,Merced Lake Trail,55361.296,2816.9616,7,loop,3,9
10257681,Beehive Meadow Trail,16254.334,857.7072,3,out and back,3,9
10034192,The Clark Range and Red Peak Pass Trail,74029.64,2601.7728,5,loop,3,9
10303635,Yosemite Falls Trail to North Dome,22047.958,1665.732,5,out and back,6,9
10027495,Lukens Lake from White Wolf,7885.766,133.8072,1,out and back,10,9
10040316,Vogelsang Lake and Volesang Pass Trail,28163.45,687.9336,3,out and back,11,9
10311716,"Mist Trail, Cloud Rest, May Lake and Snow Creek Loop",58258.108,3060.8016,5,loop,7,9
